,Unnamed: 0.1,Unnamed: 0,Review,Rating
34,34,34,"It is a very good laptop, Starting speed is very fast, it starts in 2 to 3 seconds only. Everything is nice with this laptop must buy. Intel UHD graphics support is very good in this.",good laptop start speed fast start   second everyth nice laptop must buy intel uhd graphic support good
35,35,35,Nice product light weight. everything is okay.,nice product light weight everyth okay
36,36,36,Everything is Good Must Buy,everyth good must buy
37,37,37,Nice Product,nice product
38,38,38,nice product everything is okay but battery power worst.otherwise no backlight.am not satisfied .i disappointed 😞 for Flipkart.,nice product everyth okay batteri power worstotherwis backlightam satisfi disappoint 😞 flipkart
39,39,39,"Display so bad quality and wifi connectivity ia also poor, camera vry poor. Not UP to the mark.",display bad qualiti wifi connect ia also poor camera vri poor mark
40,40,40,Very Good pc in this price with HP Brand,good pc price hp brand
41,41,41,Excellent 🤩🤩🤩,excel 🤩🤩🤩
42,42,42,Awesome Laptop 🤩,awesom laptop 🤩
43,43,43,It's awesome for multipurpose computer very smoothly to use & worked performance is superb i like it 😋😍😇,awesom multipurpos comput smooth use  work perform superb like 😋😍😇
44,44,44,"First impressions are awesome ! Will update the review after some usage !Edit : Review update after a week.Well laptop is blazingly fast ! i3 11th processor rocks. SSD also makes it quick. Webcam is not that bad. I have seen worse. And I don't know why people are complaining about its display. I didn't find any problems with it so far. On the contrast, I actually liked the display. It is HD and is quite clear. Now about battery backup -So if you are using it without wifi. Then it will ...",first impress awesom  updat review usag edit  review updat weekwel laptop blaze fast    processor rock ssd also make quick webcam bad seen wors dont know peopl complain display didnt find problem far contrast actual like display hd quit clear batteri backup use without wifi 
45,45,45,Best laptop in this segment...I like this product....but just camera is avarage quality...not so impressive.. overall I think it is a very good product in this price.,best laptop segmenti like productbut camera avarag qualitynot impress overal think good product price
46,46,46,Value for money at this price range.1) fast fingerprint.2) camera very low quality.3) prosesor super fast.,valu money price  fast  camera low  prosesor super fast
47,47,47,Nice looking,nice look
48,48,48,"Best Laptop in this price from AsusVery fast processor Performance is goodBest for students, official work and Entertainment purposes.But camera quality is not good.Overall Nice Laptop.Thankyou Asus and Flipkart.",best laptop price asusveri fast processor perform goodbest student offici work entertain purposesbut camera qualiti goodoveral nice laptopthankyou asus flipkart
49,49,49,Firstly the price of this laptop is quite impressive and the functions.SSDIn this range with this generation the processor is quite fast and in comparison with hdd SSD always gets an upper thumb as it makes your pc/notebook fast.BatteryIt is not as par with HP as they have 3 cell and in Asus they are 2 cell so here in the case of battery it lacks behindCamera: Really not good at all it seems like VGA camera,first price laptop quit impress functionsssdin rang generat processor quit fast comparison hdd ssd alway get upper thumb make pcnotebook fastbatteryit par hp  cell asus  cell case batteri lack behindcamera realli good seem like vga camera
50,50,50,"Read this if you're going to buy any laptopMy advice is please not to look brand in buying laptops .The laptops with same specs of brands hp,full,aver,lenovo,asus etc are same To get to for minimum cost try asusDont feel asus is not as good as hp or dellFor this laptopPros- ●high speed boot up(faster than mac pro)● intel i3 good performance if your use is home,student,and coding●extra slot for ram.if you add 8 gb ram(you can get for just 2500 in flipkart and can add it yourself)You ...",read your go buy laptopmi advic pleas look brand buy laptop laptop spec brand hpfullaverlenovoasus etc get minimum cost tri asusdont feel asus good hp dellfor laptoppro ●high speed boot upfast mac pro● intel  good perform use homestudentand coding●extra slot ramif add  gb ramyou get  flipkart add yourselfyou 
51,51,51,Best laptop under 35k just go for it I have got in 33k on sale Pro : i3 11th gen under 35 k  * Display quality is good but view angle is not so good but it's okay for me * Speaker sound is better* It's booting Time is fastKeyboard quality is goodDesign is awesomeAnd the best part is that it comes with extra slot fully confirmed by me and  asus care  you can expand upto 12gb ram there is  4gb onboard ram and extra slot you can put 8 gb there and you can upgrade hdd upto 1tb Built quali...,best laptop  go got  sale pro    gen  k   display qualiti good view angl good okay  speaker sound better boot time fastkeyboard qualiti gooddesign awesomeand best part come extra slot fulli confirm  asus care  expand upto  ram   onboard ram extra slot put  gb upgrad hdd upto  built quali
52,52,52,Im statisfied .. valueble money,im statisfi  valuebl money
